ID,DATE,TIME,PXL_X,PXL_Y,HPC_X,HPC_Y,PXL_SIZE_X,PXL_SIZE_Y,HPC_SIZE_X,HPC_SIZE_Y,304_LOW_THRESH_INTEN,304_AVG_INTEN,304_MED_INTEN,304_MAX_INTEN,UNSIG_GAUSS,AVG_GAUSS,MED_GAUSS
00001,2010-05-27,00:00:08,3191,1664,686.389,-230.803,270,270,162,162,450.0,801.3,716,4094,804661.524,-1.679,nan
00002,2010-05-27,00:00:08,2104,2508,34.575,274.943,232,232,139,139,450.0,736.1,622,2606,238503.562,1.684,nan
00003,2010-05-27,00:00:08,3429,2577,828.879,316.575,132,132,79,79,450.0,560.9,531,1552,38678.699,-3.810,0.341
00004,2010-05-27,00:00:08,1203,2700,-505.603,389.860,192,192,115,115,450.0,559.4,534,1047,230865.104,16.418,nan
00005,2010-06-20,00:00:02,1797,2817,-149.033,459.511,364,364,218,218,450.0,777.9,654,3194,1285720.561,2.863,0.000
00006,2010-07-14,00:00:02,1460,2578,-350.988,316.410,752,752,451,451,450.0,852.0,745,9616,6655382.874,7.100,nan
00007,2010-07-26,00:00:02,2151,1290,63.369,-455.464,618,618,370,370,450.0,969.7,861,7428,5771397.395,-3.214,nan
00008,2010-07-26,00:00:02,1013,2575,-619.106,314.649,262,262,157,157,450.0,805.4,708,3172,358521.662,5.874,nan
00009,2010-08-19,00:00:08,1327,1178,-431.876,-522.369,334,334,200,200,450.0,635.4,582,2080,779435.061,11.101,nan
00010,2010-08-31,00:00:08,2618,2613,341.001,338.712,312,312,187,187,450.0,780.6,646,4601,1529850.438,6.080,nan
00011,2010-09-24,00:00:08,2287,1065,142.391,-588.840,350,350,210,210,450.0,655.8,613,2038,1058638.944,-9.877,7.622
00013,2010-10-30,00:00:08,3257,2523,722.368,286.600,372,372,223,223,450.0,846.7,726,5630,3667567.534,-27.025,nan
00014,2010-10-30,00:00:08,2671,2907,370.992,516.685,144,144,86,86,450.0,815.2,737,2336,256536.572,5.736,nan
